(10,0)
(20,0)
(30,0)
(40,0)
(50,0)
(60,0)
(70,0)
(80,0)
(90,0)
(100,0)
(200,0)
(300,0)
(400,0.00891714075850031)
(500,0.00891714075850031)
(600,0.00891714075850031)
(700,0.00891714075850031)
(800,0.00891714075850031)
(900,0.00891714075850031)
(1000,0.00891714075850031)
(2000,0.017053687794655)
(3000,0.0180747779954648)
(4000,0.0180747779954648)
(5000,0.020012582741401)
(6000,0.0210209135320538)
(7000,0.0241789595608898)
(8000,0.0268710724173819)
(9000,0.0299241600290129)
(10000,0.0371730079094847)
(20000,0.0539193043373283)
(30000,0.0740841411941605)
(40000,0.0872565452400222)
(50000,0.0999109049648459)
(60000,0.112582900893613)
(70000,0.126430756214661)
(80000,0.137884136458456)
(90000,0.149635675899695)
(100000,0.155577236328936)
(200000,0.190706714283804)
(300000,0.246548180820962)
(400000,0.236148249378255)
(500000,0.261189082557923)
(600000,0.299777955591609)
(700000,0.309220072466088)
(800000,0.325025669111443)
(900000,0.327913865884122)
(1000000,0.329187261152123)
(2000000,0.349545145430898)
(3000000,0.403877535672059)
(4000000,0.441071093593095)
(5000000,0.484587276635176)
(6000000,0.484587276635176)
(7000000,0.556859090840497)
(8000000,0.575138264771747)
(9000000,0.575138264771747)
(10000000,0.575138264771747)
(20000000,1)
(30000000,1)
(40000000,1)
(50000000,1)
(60000000,1)
(70000000,1)
(80000000,1)
(90000000,1)
(100000000,1)
